Symptoms,Herbs_ID,Formulation
Diabetes,53,"Research has proved that karela contains insulin like properties and thus is called plant-insulin, which is highly beneficial in lowering the sugar levels. Drink one cup of fresh karela juice (3 ‒ 4 karelas) daily in the morning."
Diabetes,64,Intake of 15-20ml of whole plant juice of Lajjalu in early morning on empty stomach is beneficial in diabetes.
Diabetes,71,Intake of 5 grams of meshashringi leaves powder daily 2 to 3 times a day before food regularly is useful to control diabetes mellitus. High doses of this medicine may help to regenerate Beta cells of Pancreas study and research says.
Diabetes,80,One cup of juice of neem leaves mixed with a pinch of black pepper powder must be taken in the morning on an empty stomach for three months. This helps to reduce the blood sugar the diabetes.
Diabetes,102,This is a popular spice and is a strong stimulator of insulin activity and thus extremely useful in treating diabetes. In take of ½ teaspoonful of powdered cinnamon with water daily.
Diaper Rash,79,"coconut oil regular massage of the body of infants prevent skin ailments and diaper rash. It prevents flaking and dryness of skin, dry eczema, wrinkling, sagging, skin inflammation, itching and ringworm infection etc."
Diarrhea,7,A basin is formed around the umbilicus by the paste of black gram and amalaki ( Indian gooseberry) . The naval is filled with fresh ginger juice and retained for 15 to 20min once daily till the diarrhea subsides
Diarrhea,16,5 gms of crushed bark & pod of avartani is boiled in 100ml of water and reduced to 25ml . This decoction is given for diarrhea twice or thrice daily.
Diarrhea,25,3 grms of fruit peel powder along with butter milk with one teaspoonful cumin seeds powder twice a day is beneficial in diarrhea especially Irritable bowel syndrome.
Diarrhea,51,Internal administration of 3 gms of kanchanara bark powder along with warm water twice daily is useful to control diarrhea.
Diarrhea,63,"Consuming Kutaja decoction( 3gms of bark boiled in 100 ml of water reduced into 1/4th ) three or four times a day is effective in diarrhoea, dyscentery, IBS etc"
Diarrhea with blood,77,3grams of Nagakesar stamen powder with warm water twice daily is an excellent remedy.
Diarrhoea,3,The leaves decoction of guava (one fistful of leaves boiled in 100 ml of water till it reduced to 25 ml) can be given twice daily in Diarrhoea.
Diarrhoea,23,"15-25ml of leaves juice of changeri is administered twice daily bloody diarrhoea, prolapse of rectum etc. It can also be administered along with butter milk for better results."
Diarrhoea,24,Intake of 2 gms of Chitraka powder and 2gms of pippali powder with Buttermilk beneficial in Diarrhoea.
Diarrhoea,46,Administration of 2 gram of Jatiphala powder with butter milk twice daily helps to treat Diarrhoea.
Diarrhoea,47,"Roast one tsp of cumin seeds and powder them. Add a pinch each of dry ginger powder Jiraka Cuminum cyminum, Apiaceae Vernacular names (Sunthi), cinnamon powder and black pepper. Mix in 1 cup of butter milk. Drink twice or thrice a day"
Diarrhoea,50,5ml of lotus flower juice can be administered twice daily for diarrhoea. It is also good for Heart .
Diarrhoea,66,Take equal quantity of cloves and pomegranate skin fine powder and mixed together. Take 5gms of the mixture along with 1/2 teaspoonful of honey 3 times a day.
Diarrhoea,76,"Musta tuber powder can be administered in a dose of 3 gms thrice daily with butter milk Musta Cyperus rotundus, Cyperaceae Vernacular names is useful in diarrhoea, indigestion, etc."
Diarrhoea,79,"Intake of tender coconut water helps to maintain fluid balance and prevent dehydration especially during scotching summer or in diseases like diarrhea, malaria, typhoid and Chicken-pox etc."
Digestive disorders,65,Crush 5-6 cloves of garlic and take with warm water or milk.
Distention of abdomen,8,The paste of soapnut seed marrow 500-600 mg of is mixed with jaggery and administered internally twice a day.
Dysentry,32,3gms of papaya seed powder with warm water twice daily before food is beneficial as it has antibacterial properties.
Dyslipidaemia,14,"Early in the morning 2-3 ml linseed oil is added to a cup of warm water and taken in empty stomach. This helps to reduce the total cholesterol, and also beneficial in obesity."
Dyslipidaemia,72,10 gram Methi powder is administered along with warm water or buttermilk twice daily reduces cholesterol significantly
Dyslipidaemia,74,20-30ml of radish juice is mixed with equal quantity of water and one tsp of lemon juice and little honey. This is taken on empty stomach daily for 30- 40 days. This reduces the bad cholesterol significantly
Dyslipidaemia,103,Consume 5gms of Bay leaves (tej patta) powder with honey daily on empty stomach in morning for 30 days. It reduce the blood glucose and cholesterol .
Dysmennohea,39,"Intake of 100ml of buttermilk with a pinch of Asafoetida(Hing), 1/2 teaspoon of Fenugreek(Methi) powder and little salt twice daily for 3 days is beneficial."
Dysmenorrhea,4,"10gms of whole plant coarse powder is boiled in 200ml of water and till it reduced to 50ml. This filtered decoction consumed 1-2 days prior to Apamarga Achyranthes aspera, Amaranthaceae Vernacular names expected date of menstruation till it stops. This relieves pain and irregularity of the menses"
Dysmenorrhoea,96,Leaves decoction of drum stick (prepared from a fistful of leaves in 100ml of water cooked till it reduced to 1/4th administered twice daily is helpful to overcome the back ache and dysmenorrhoea. Being a blood purifier it also pacifies the pimples and black heads too.
Dysmerrhoea,100,"one teaspoonful of the powder of sesame seeds, Tila Sesamum indicum, Pedaliaceae Vernacular names taken with hot water twice daily, acts as an excellent remedy in reducing the spasmodic cramps during menstruation."
Dysuria,14,"5gms of Atasi seeds are soaked in a 100ml of hot water for overnight. Next day morning, it is macerated well and filtered. This is consumed before food for the treatment of burning urination."
Dysuria,15,"Atmagupta (Kapikacchu), Shatavari and Gokshura powders are taken equal quantity. 10 gms of this mixture boiled in 200ml of Atmagupta (Kapikacchu) Mucuna prurita, Fabaceae Vernacular names water and reduced to 50 ml. Oral intake of this decoction twice daily beneficial in dysuria."
Dysuria,58,"Administration of 5 grams of root powder of krishna musali with honey or jaggery twice a day is useful to treat leucorrhoea, burning micturition of urine and loss of libido."
Dysuria,91,"5 gms of sariva root powder is given along with milk. for urinary problems like dysuria oliguria, and BPH(Benign prostatic hyperplasia),"
Dysuria,97,3gms of cardamom powder mixed in 20ml of Amalaki juice taken orally twice a day to alleviate suppression of urine and dysuria.
